,salary_min,salary_max,currency,vacancy,link,source
34,50000.0,,руб.,Кассир,https://hh.ru/vacancy/50609642?query=%D0%BA%D0%B0%D1%81%D1%81%D0%B8%D1%80,https://hh.ru
35,60000.0,100000.0,руб.,Кассир-администратор,https://hh.ru/vacancy/51718593?query=%D0%BA%D0%B0%D1%81%D1%81%D0%B8%D1%80,https://hh.ru
36,60000.0,,руб.,Бухгалтер-кассир,https://hh.ru/vacancy/52912642?query=%D0%BA%D0%B0%D1%81%D1%81%D0%B8%D1%80,https://hh.ru
37,60000.0,,руб.,Бариста - Кассир,https://hh.ru/vacancy/49675985?query=%D0%BA%D0%B0%D1%81%D1%81%D0%B8%D1%80,https://hh.ru
38,50000.0,60000.0,руб.,Кассир в кафе,https://hh.ru/vacancy/52100734?query=%D0%BA%D0%B0%D1%81%D1%81%D0%B8%D1%80,https://hh.ru
39,75000.0,,руб.,Продавец-кассир (ВСЕ СТАНЦИИ МЕТРО),https://hh.ru/vacancy/47755186?query=%D0%BA%D0%B0%D1%81%D1%81%D0%B8%D1%80,https://hh.ru
40,35000.0,80000.0,руб.,Кассир/бариста,https://hh.ru/vacancy/52774243?query=%D0%BA%D0%B0%D1%81%D1%81%D0%B8%D1%80,https://hh.ru
41,60000.0,80000.0,руб.,Кассир в торговый зал спорт магазина,https://hh.ru/vacancy/52140191?query=%D0%BA%D0%B0%D1%81%D1%81%D0%B8%D1%80,https://hh.ru
42,50000.0,,руб.,Кассир-операционист,https://hh.ru/vacancy/52836866?query=%D0%BA%D0%B0%D1%81%D1%81%D0%B8%D1%80,https://hh.ru
43,,70000.0,руб.,Продавец-кассир,https://hh.ru/vacancy/52661501?query=%D0%BA%D0%B0%D1%81%D1%81%D0%B8%D1%80,https://hh.ru
44,,75000.0,руб.,Кассир в клуб,https://hh.ru/vacancy/52466349?query=%D0%BA%D0%B0%D1%81%D1%81%D0%B8%D1%80,https://hh.ru
45,,40000.0,руб.,Контролер-кассир,https://hh.ru/vacancy/52826340?query=%D0%BA%D0%B0%D1%81%D1%81%D0%B8%D1%80,https://hh.ru
46,45000.0,,руб.,Кассир,https://hh.ru/vacancy/52631725?query=%D0%BA%D0%B0%D1%81%D1%81%D0%B8%D1%80,https://hh.ru
